UUID	roundOrder	subjectDecision	oppDecision	payoff	timerTriggered	oppBotName	timeCreated
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	0	A	B	1	false	Chimpanzee	1510175713879
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	1	A	B	1	false	Squirrel	1510175723475
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	2	A	A	4	false	Panda	1510175729873
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	3	A	B	1	false	Koala	1510175736692
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	4	A	A	4	false	Bear	1510175743005
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	5	A	A	4	false	Koala	1510175750711
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	6	A	B	1	false	Skunk	1510175755673
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	7	A	A	4	false	Bear	1510175760900
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	8	A	A	4	false	Badger	1510175766571
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	9	A	A	4	false	Skunk	1510175772105
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	10	A	A	4	false	Koala	1510175780790
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	11	A	A	4	false	Squirrel	1510175786416
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	12	A	A	4	false	Badger	1510175791281
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	13	A	A	4	false	Rabbit	1510175796176
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	14	A	A	4	false	Rabbit	1510175800962
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	15	A	A	4	false	Panda	1510175805476
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	16	A	A	4	false	Bear	1510175810770
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	17	A	A	4	false	Skunk	1510175816779
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	18	A	A	4	false	Skunk	1510175821419
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	19	A	A	4	false	Panda	1510175826227
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	20	A	A	4	false	Squirrel	1510175831484
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	21	A	A	4	false	Badger	1510175836123
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	22	A	A	4	false	Chimpanzee	1510175840648
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	23	A	A	4	false	Skunk	1510175845961
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	24	A	A	4	false	Koala	1510175850733
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	25	A	A	4	false	Skunk	1510175855543
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	26	A	A	4	false	Panda	1510175859995
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	27	A	A	4	false	Koala	1510175864397
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	28	A	A	4	false	Rabbit	1510175869114
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	29	A	A	4	false	Squirrel	1510175873818
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	30	A	A	4	false	Koala	1510175878332
